"item_id","similar_item_id"
"B00006FN58","B00006RYOL"
"B00006FN58","B000BRY67A"
"B00006RYOL","B00006FN58"
"B00007BKGQ","B0000CFYEJ"
"B00007BKGQ","B0000VS0HE"
"B00007KMNF","B0000ADYDR"
"B0000ADYDR","B00007KMNF"
"B0000CFYEJ","B00007BKGQ"
"B0000VS0HE","B00007BKGQ"
"B000216XGM","B000B2XZ22"
"B00064HR0Q","B000679QWK"
"B000679QWK","B00064HR0Q"
"B000B2XZ22","B000A14OT2"
"B000BRY67A","B00006FN58"
"B000BYVJS2","B000B6TQQ2"
"B000BYVJS2","B000C5RRQI"
"B000BYVJS2","B000C5RRQS"
"B000C5RRQI","B000BYVJS2"
"B000C5RRQS","B000BYVJS2"
