"item_id","number_of_shops"
"B000000UWU",2
"B000000WMJ",2
"B000000WW4",2
"B00000142W",2
"B000001DEW",2
"B000001WM9",2
"B000001WVC",2
"B000002ONW",2
"B000002W2L",2
"B000002WVI",2
"B0000036BW",2
"B0000038YW",2
"B000003LW1",2
"B000003W0C",2
"B000003W8E",2
"B0000046WZ",2
"B00000583W",2
"B000005GWE",2
"B000005IW3",2
"B000005WCA",2
"B000005YNW",2
"B000006YGW",2
"B000007OWQ",2
"B00000AWIP",2
"B00000I9W2",2
"B00000IOBW",2
"B00000IWWM",2
"B00000J97W",2
"B00000JODW",2
"B00000JQHW",2
"B00001WRKM",2
"B00001WRKN",2
"B00001ZWGG",2
"B000023ZLW",2
"B000023ZW0",2
"B0000241WM",2
"B000024KWC",2
"B000024SWO",2
"B000024SWP",2
"B000024VGW",2
"B000024WD7",2
"B000025ENW",2
"B000025LW0",2
"B000025OWS",2
"B0000262WV",2
"B000026F9W",2
"B000026OW3",2
"B0000282WF",2
"B000028DW8",2
"B000028DWE",2
"B00002DGW7",2
"B00002MZ1W",2
"B000031W6F",2
"B000031W6H",2
"B000031W7Q",2
"B000031W8G",2
"B000031WBU",2
"B000031WBV",2
"B000031WTO",2
"B000031WYN",2
"B000031WYO",2
"B000038I7W",2
"B00003G1GW",2
"B00004CWTY",2
"B00004R7WK",2
"B00004T3XW",2
"B00004T8WB",2
"B00004W0W3",2
"B00004W55E",2
"B00004W59Y",2
"B00004W9YQ",2
"B00004WER3",2
"B00004WER4",2
"B00004WGZG",2
"B00004WI74",2
"B00004WIID",2
"B00004WIUY",2
"B00004WSAN",2
"B00004Z55W",2
"B000050X3W",2
"B000051MWJ",2
"B000059QW8",2
"B00005AWFB",2
"B00005NWMT",2
"B00005NWMU",2
"B00005NYAW",2
"B00005OM7W",2
"B00005QW37",2
"B00005QZWN",2
"B00005RD3W",2
"B00005RWBY",2
"B00005UJYW",2
"B00005UMTW",2
"B00005UW4P",2
"B00005UW4X",2
"B00005UW50",2
"B00005UW52",2
"B00005UW5C",2
"B00005YEWO",2
"B000063WRR",2
"B000065TWQ",2
"B000066I6W",2
"B0000676WX",2
"B00006AWLW",2
"B00006GEWN",2
"B00006HARW",2
"B00006K06W",2
"B00006L72W",2
"B00006LWQU",2
"B00006WL5N",2
"B000070WFQ",2
"B000071WEL",2
"B00007B6WD",2
"B00007DWOT",2
"B00008PW4A",2
"B00008PZW3",2
"B00008PZW9",2
"B00008RWRI",2
"B00008RWV0",2
"B00008W42Z",2
"B00008WD7G",2
"B00008WDAI",2
"B00009CBNW",2
"B00009KV0W",2
"B00009LW5L",2
"B00009LWLU",2
"B00009MDDW",2
"B00009PBWK",2
"B00009YW8X",2
"B0000A1M9W",2
"B0000A5BWW",2
"B0000AKOWN",2
"B0000AZSWW",2
"B0000B0WZA",2
"B0000B1JWE",2
"B0000B1JWG",2
"B0000C6IW5",2
"B0000C8WYE",2
"B0000CAWBD",2
"B0000CAWBE",2
"B0000CBBWK",2
"B0000CC4WU",2
"B0000DIMWX",2
"B0000DKKWT",2
"B0000DKQWR",2
"B0000EWQ12",2
"B0000PCBFW",2
"B0000SVWQS",2
"B0000TSW7E",2
"B0000VAW5M",2
"B0000VD0EW",2
"B0000VWYS0",2
"B0000W3N8E",2
"B0000W3N8O",2
"B0000WKOT0",2
"B0000YWHOI",2
"B00012BCW2",2
"B00013MWYI",2
"B00013YWH8",2
"B00014AW6C",2
"B00016OYNW",2
"B00016W8A8",2
"B0001722BW",2
"B000176N1W",2
"B0001EQHFW",2
"B0001IW2Q6",2
"B0001J3VYW",2
"B0001KZNYW",2
"B0001N9ZKW",2
"B0001U0IWY",2
"B0001WGDX0",2
"B0001WGDXA",2
"B0001WGER0",2
"B0001WGERU",2
"B0001Z64W2",2
"B0001ZWJSA",2
"B0001ZWJYY",2
"B000266WYK",2
"B00027LEJW",2
"B00028F85W",2
"B0002A4J3W",2
"B0002BXWZW",2
"B0002CWXQU",2
"B0002HTZKW",2
"B0002IVNWE",2
"B0002LGWQ8",2
"B0002MVYWO",2
"B0002NY90W",2
"B0002OWWSW",2
"B0002PZWQ0",2
"B0002SLP2W",2
"B0002TB60W",2
"B0002TTWU8",2
"B0002UJKCW",2
"B0002W182K",2
"B0002W19UG",2
"B0002W36F2",2
"B0002WRVUS",2
"B0002WS3M8",2
"B0002WYS6S",2
"B0002X4U9W",2
"B0002XNLWE",2
"B0002YLAVW",2
"B0002Z81MW",2
"B0002Z9ZCW",2
"B00035W08M",2
"B00035W0AK",2
"B0003HFRGW",2
"B0003HGWNE",2
"B0004FRW0C",2
"B000621P4W",2
"B00062ICW0",2
"B0006391OW",2
"B00063IWLK",2
"B00063IWUG",2
"B00066KWNS",2
"B000679QWA",2
"B000679QWK",2
"B00068WJLE",2
"B00069KW58",2
"B00069W4J0",2
"B0006B96BW",2
"B0006IQLMW",2
"B0006O9MWW",2
"B00070Q5ZW",2
"B00076OMW4",2
"B00077W5T0",2
"B00078JZ9W",2
"B00079RNHW",2
"B0007DDPWK",2
"B0007DDPWU",2
"B0007N4MRW",2
"B0007NB9DW",2
"B0007Q6PW4",2
"B0007QS1VW",2
"B0007SK9OW",2
"B0007UARJW",2
"B0007VV7MW",2
"B0007W22M0",2
"B0007WCDXI",2
"B0007WD8BY",2
"B0007WQHVC",2
"B0007WRTAA",2
"B0007YMS2W",2
"B0007YP0WC",2
"B0007ZHWRM",2
"B0007ZIYWE",2
"B000803PHW",2
"B0008ENMW6",2
"B0008GIXDW",2
"B0009ENFW2",2
"B0009K2U2W",2
"B0009MWB60",2
"B0009NDGRW",2
"B0009QYQ8W",2
"B0009SQ6YW",2
"B0009VJWN6",2
"B0009W4M3U",2
"B0009W4M4E",2
"B0009W4M62",2
"B0009W5JH8",2
"B0009W5K9A",2
"B0009WFEIW",2
"B0009WFFS6",2
"B0009WFS2E",2
"B0009WPCAM",2
"B0009WPCJS",2
"B0009Z5TZW",2
"B000A32WEO",2
"B000A6C23W",2
"B000A6UWKW",2
"B000ANPWYG",2
"B000AOWD2O",2
"B000AQBALW",2
"B000AQNK9W",2
"B000AXWD4S",2
"B000AYQDW0",2
"B000B2WK8M",2
"B000B64W02",2
"B000B6VUAW",2
"B000B7I3TW",2
"B000B8ITCW",2
